Product ID,Type,Failure Type,Torque _Nm_,Tool wear _min_,Air temperature _K_,Process temperature _K_,Rotational speed _rpm_,risk_score,risk_classification,highest_wear_machine,avg_air_Temp,avg_process_temp,avg_rotational_speed,total_tool_wear,avg_torque,highest_failure_per_product_id,worst_machine_types
H38920,H,No Failure,41.6,25,299.3,310.4,1548,0,Low Risk,25,299.3,310.4,1548.0,25,41.6,8734,61
H38912,H,No Failure,36.1,5,299.2,310.1,1542,0,Low Risk,5,299.2,310.1,1542.0,5,36.1,8735,62
H38911,H,No Failure,40.3,0,299.1,309.9,1443,0,Low Risk,0,299.1,309.9,1443.0,0,40.3,8736,63
H38909,H,No Failure,44.8,221,299.3,310.0,1373,1,Low Risk,221,299.3,310.0,1373.0,221,44.8,8737,64
H38897,H,No Failure,35.3,190,298.9,309.6,1546,1,Low Risk,190,298.9,309.6,1546.0,190,35.3,8738,65
H38896,H,No Failure,57.4,185,298.8,309.6,1309,2,Medium Risk,185,298.8,309.6,1309.0,185,57.4,8739,66
H38893,H,No Failure,33.5,175,298.9,309.6,1600,1,Low Risk,175,298.9,309.6,1600.0,175,33.5,8740,67
H38884,H,No Failure,47.1,149,298.6,309.4,1439,0,Low Risk,149,298.6,309.4,1439.0,149,47.1,8741,68
H38867,H,No Failure,56.8,107,298.2,309.0,1360,1,Low Risk,107,298.2,309.0,1360.0,107,56.8,8742,69
H38865,H,No Failure,39.6,99,298.0,308.7,1536,0,Low Risk,99,298.0,308.7,1536.0,99,39.6,8743,70
H38860,H,No Failure,53.5,83,298.1,308.9,1388,1,Low Risk,83,298.1,308.9,1388.0,83,53.5,8744,71
H38857,H,No Failure,53.8,73,298.0,308.8,1411,1,Low Risk,73,298.0,308.8,1411.0,73,53.8,8745,72
H38842,H,No Failure,28.4,34,298.2,308.8,1837,1,Low Risk,34,298.2,308.8,1837.0,34,28.4,8746,73
H38831,H,No Failure,43.8,6,298.1,308.4,1515,0,Low Risk,6,298.1,308.4,1515.0,6,43.8,8747,74
H38822,H,No Failure,34.5,191,297.9,308.4,1637,2,Low Risk,191,297.9,308.4,1637.0,191,34.5,8748,75
H38812,H,No Failure,40.1,165,297.7,308.2,1526,1,Low Risk,165,297.7,308.2,1526.0,165,40.1,8749,76
H38807,H,No Failure,43.0,151,297.7,308.2,1489,1,Low Risk,151,297.7,308.2,1489.0,151,43.0,8750,77
H38805,H,No Failure,18.5,144,297.6,308.2,2071,1,Low Risk,144,297.6,308.2,2071.0,144,18.5,8751,78
H38801,H,No Failure,52.0,131,297.4,307.9,1390,1,Low Risk,131,297.4,307.9,1390.0,131,52.0,8752,79
H38797,H,No Failure,38.2,117,297.5,308.1,1548,0,Low Risk,117,297.5,308.1,1548.0,117,38.2,8753,80
H38791,H,No Failure,41.0,101,297.7,308.3,1488,0,Low Risk,101,297.7,308.3,1488.0,101,41.0,8754,81
H38790,H,No Failure,27.7,96,297.7,308.4,1738,1,Low Risk,96,297.7,308.4,1738.0,96,27.7,8755,82
H38789,H,No Failure,49.5,91,297.7,308.4,1288,0,Low Risk,91,297.7,308.4,1288.0,91,49.5,8756,83
H38784,H,No Failure,51.9,77,297.7,308.4,1418,1,Low Risk,77,297.7,308.4,1418.0,77,51.9,8757,84
H38756,H,No Failure,31.8,8,298.3,308.9,1706,1,Low Risk,8,298.3,308.9,1706.0,8,31.8,8758,85
H38754,H,No Failure,37.1,0,298.4,308.9,1577,0,Low Risk,0,298.4,308.9,1577.0,0,37.1,8759,86
H38752,H,No Failure,30.8,212,298.5,309.0,1531,1,Low Risk,212,298.5,309.0,1531.0,212,30.8,8760,87
H38751,H,No Failure,40.3,207,298.5,308.9,1500,1,Low Risk,207,298.5,308.9,1500.0,207,40.3,8761,88
H38742,H,No Failure,19.0,184,298.5,309.1,2051,2,Low Risk,184,298.5,309.1,2051.0,184,19.0,8762,89
H38730,H,No Failure,41.2,155,298.5,309.4,1417,1,Low Risk,155,298.5,309.4,1417.0,155,41.2,8763,90
H38726,H,No Failure,33.6,143,298.5,309.4,1573,0,Low Risk,143,298.5,309.4,1573.0,143,33.6,8764,91
H38719,H,No Failure,30.2,125,298.3,309.1,1646,1,Low Risk,125,298.3,309.1,1646.0,125,30.2,8765,92
H38710,H,No Failure,39.1,100,298.2,309.0,1524,0,Low Risk,100,298.2,309.0,1524.0,100,39.1,8766,93
H38694,H,No Failure,43.3,61,298.2,308.8,1470,0,Low Risk,61,298.2,308.8,1470.0,61,43.3,8767,94
H38692,H,No Failure,39.9,53,298.2,308.8,1606,1,Low Risk,53,298.2,308.8,1606.0,53,39.9,8768,95
H38687,H,No Failure,35.7,40,298.2,308.7,1520,0,Low Risk,40,298.2,308.7,1520.0,40,35.7,8769,96
H38675,H,No Failure,38.4,10,298.3,309.0,1470,0,Low Risk,10,298.3,309.0,1470.0,10,38.4,8770,97
H38672,H,No Failure,43.2,0,298.3,309.0,1379,0,Low Risk,0,298.3,309.0,1379.0,0,43.2,8771,98
H38664,H,No Failure,25.9,181,298.3,309.0,1823,2,Low Risk,181,298.3,309.0,1823.0,181,25.9,8772,99
H38653,H,No Failure,51.9,153,298.2,308.8,1436,2,Medium Risk,153,298.2,308.8,1436.0,153,51.9,8773,100
H38630,H,No Failure,43.7,96,297.7,308.8,1469,0,Low Risk,96,297.7,308.8,1469.0,96,43.7,8774,101
H38593,H,No Failure,44.7,8,297.9,309.1,1435,0,Low Risk,8,297.9,309.1,1435.0,8,44.7,8775,102
H38587,H,No Failure,32.2,195,297.8,308.9,1650,2,Low Risk,195,297.8,308.9,1650.0,195,32.2,8776,103
H38582,H,No Failure,44.4,181,297.6,308.8,1385,1,Low Risk,181,297.6,308.8,1385.0,181,44.4,8777,104
H38574,H,No Failure,28.0,158,297.5,308.5,1671,2,Low Risk,158,297.5,308.5,1671.0,158,28.0,8778,105
H38572,H,No Failure,46.2,150,297.4,308.4,1487,0,Low Risk,150,297.4,308.4,1487.0,150,46.2,8779,106
H38549,H,No Failure,50.3,97,297.7,308.8,1404,1,Low Risk,97,297.7,308.8,1404.0,97,50.3,8780,107
H38545,H,No Failure,46.7,85,297.6,308.6,1463,0,Low Risk,85,297.6,308.6,1463.0,85,46.7,8781,108
H38530,H,No Failure,32.1,49,297.6,308.7,1659,1,Low Risk,49,297.6,308.7,1659.0,49,32.1,8782,109
H38515,H,No Failure,31.4,9,297.3,308.2,1653,1,Low Risk,9,297.3,308.2,1653.0,9,31.4,8783,110
H38513,H,No Failure,52.3,2,297.3,308.1,1477,1,Low Risk,2,297.3,308.1,1477.0,2,52.3,8784,111
H38499,H,No Failure,54.0,174,297.1,307.9,1365,2,Medium Risk,174,297.1,307.9,1365.0,174,54.0,8785,112
H38493,H,No Failure,42.4,158,297.3,308.1,1554,1,Low Risk,158,297.3,308.1,1554.0,158,42.4,8786,113
H38486,H,No Failure,27.2,140,297.2,308.1,1770,1,Low Risk,140,297.2,308.1,1770.0,140,27.2,8787,114
H38482,H,No Failure,30.3,128,297.1,308.2,1790,1,Low Risk,128,297.1,308.2,1790.0,128,30.3,8788,115
H38479,H,No Failure,17.3,119,297.2,308.4,2182,1,Low Risk,119,297.2,308.4,2182.0,119,17.3,8789,116
H38474,H,No Failure,45.8,105,297.2,308.3,1453,0,Low Risk,105,297.2,308.3,1453.0,105,45.8,8790,117
H38469,H,No Failure,23.1,90,297.3,308.4,1864,1,Low Risk,90,297.3,308.4,1864.0,90,23.1,8791,118
H38448,H,No Failure,46.2,37,297.4,308.2,1585,0,Low Risk,37,297.4,308.2,1585.0,37,46.2,8792,119
H38445,H,No Failure,23.9,28,297.5,308.4,1793,1,Low Risk,28,297.5,308.4,1793.0,28,23.9,8793,120
H38427,H,No Failure,43.0,202,297.2,308.0,1435,1,Low Risk,202,297.2,308.0,1435.0,202,43.0,8794,121
H38406,H,No Failure,37.2,151,297.2,307.9,1450,1,Low Risk,151,297.2,307.9,1450.0,151,37.2,8795,122
H38389,H,No Failure,34.2,109,296.7,307.4,1661,1,Low Risk,109,296.7,307.4,1661.0,109,34.2,8796,123
H38354,H,No Failure,19.3,24,297.3,308.3,1935,1,Low Risk,24,297.3,308.3,1935.0,24,19.3,8797,124
H38338,H,No Failure,42.2,199,297.1,308.2,1527,1,Low Risk,199,297.1,308.2,1527.0,199,42.2,8798,125
H38316,H,No Failure,46.3,146,297.4,308.7,1522,0,Low Risk,146,297.4,308.7,1522.0,146,46.3,8799,126
H38309,H,No Failure,40.1,126,297.4,308.6,1461,0,Low Risk,126,297.4,308.6,1461.0,126,40.1,8800,127
H38295,H,No Failure,37.9,89,298.0,309.2,1520,0,Low Risk,89,298.0,309.2,1520.0,89,37.9,8801,128
H38289,H,No Failure,51.0,72,298.1,309.3,1332,1,Low Risk,72,298.1,309.3,1332.0,72,51.0,8802,129
H38287,H,No Failure,36.4,65,298.0,309.1,1557,0,Low Risk,65,298.0,309.1,1557.0,65,36.4,8803,130
H38280,H,No Failure,39.6,45,297.9,308.9,1416,0,Low Risk,45,297.9,308.9,1416.0,45,39.6,8804,131
H38258,H,No Failure,30.8,196,297.4,308.9,1645,2,Low Risk,196,297.4,308.9,1645.0,196,30.8,8805,132
H38257,H,No Failure,38.0,191,297.3,308.8,1564,1,Low Risk,191,297.3,308.8,1564.0,191,38.0,8806,133
H38249,H,No Failure,53.5,169,297.4,308.8,1324,2,Medium Risk,169,297.4,308.8,1324.0,169,53.5,8807,134
H38245,H,No Failure,26.8,158,297.4,308.7,1726,2,Low Risk,158,297.4,308.7,1726.0,158,26.8,8808,135
H38244,H,No Failure,42.8,153,297.3,308.7,1430,1,Low Risk,153,297.3,308.7,1430.0,153,42.8,8809,136
H38235,H,No Failure,33.8,127,297.4,308.7,1623,1,Low Risk,127,297.4,308.7,1623.0,127,33.8,8810,137
H38233,H,No Failure,48.9,120,297.4,308.7,1349,0,Low Risk,120,297.4,308.7,1349.0,120,48.9,8811,138
H38231,H,No Failure,53.5,112,297.3,308.6,1376,1,Low Risk,112,297.3,308.6,1376.0,112,53.5,8812,139
H38229,H,No Failure,55.0,104,297.3,308.5,1435,1,Low Risk,104,297.3,308.5,1435.0,104,55.0,8813,140
H38191,H,No Failure,38.8,14,297.5,308.6,1481,0,Low Risk,14,297.5,308.6,1481.0,14,38.8,8814,141
H38189,H,No Failure,38.7,7,297.5,308.6,1536,0,Low Risk,7,297.5,308.6,1536.0,7,38.7,8815,142
H38176,H,No Failure,24.0,179,297.5,308.8,1824,2,Low Risk,179,297.5,308.8,1824.0,179,24.0,8816,143
H38157,H,No Failure,51.1,130,297.4,308.7,1323,1,Low Risk,130,297.4,308.7,1323.0,130,51.1,8817,144
H38153,H,No Failure,37.6,118,297.4,308.7,1429,0,Low Risk,118,297.4,308.7,1429.0,118,37.6,8818,145
H38145,H,No Failure,46.6,98,297.2,308.6,1486,0,Low Risk,98,297.2,308.6,1486.0,98,46.6,8819,146
H38144,H,No Failure,33.9,93,297.3,308.7,1569,0,Low Risk,93,297.3,308.7,1569.0,93,33.9,8820,147
H38112,H,No Failure,46.2,16,297.3,308.7,1438,0,Low Risk,16,297.3,308.7,1438.0,16,46.2,8821,148
H38099,H,No Failure,41.4,192,297.2,308.5,1524,1,Low Risk,192,297.2,308.5,1524.0,192,41.4,8822,149
H38089,H,No Failure,29.4,166,297.3,308.6,1688,2,Low Risk,166,297.3,308.6,1688.0,166,29.4,8823,150
H38078,H,No Failure,58.9,138,297.5,308.6,1355,1,Low Risk,138,297.5,308.6,1355.0,138,58.9,8824,151
H38066,H,No Failure,41.5,108,297.3,308.3,1461,0,Low Risk,108,297.3,308.3,1461.0,108,41.5,8825,152
H38064,H,No Failure,27.4,100,297.4,308.3,1771,1,Low Risk,100,297.4,308.3,1771.0,100,27.4,8826,153
H38045,H,No Failure,37.0,54,297.3,308.3,1506,0,Low Risk,54,297.3,308.3,1506.0,54,37.0,8827,154
H38043,H,No Failure,39.1,47,297.5,308.5,1557,0,Low Risk,47,297.5,308.5,1557.0,47,39.1,8828,155
H38038,H,No Failure,39.7,34,297.5,308.4,1490,0,Low Risk,34,297.5,308.4,1490.0,34,39.7,8829,156
H38033,H,No Failure,39.8,19,297.6,308.6,1480,0,Low Risk,19,297.6,308.6,1480.0,19,39.8,8830,157
H38017,H,No Failure,49.1,206,297.3,308.0,1384,1,Low Risk,206,297.3,308.0,1384.0,206,49.1,8831,158
H38015,H,No Failure,46.9,199,297.4,308.2,1359,1,Low Risk,199,297.4,308.2,1359.0,199,46.9,8832,159
H38000,H,No Failure,37.5,161,297.3,307.9,1461,1,Low Risk,161,297.3,307.9,1461.0,161,37.5,8833,160
H37984,H,No Failure,35.9,120,297.9,308.7,1545,0,Low Risk,120,297.9,308.7,1545.0,120,35.9,8834,161
H37958,H,No Failure,21.0,59,298.5,309.4,2011,1,Low Risk,59,298.5,309.4,2011.0,59,21.0,8835,162
H37956,H,No Failure,35.3,51,298.4,309.4,1512,0,Low Risk,51,298.4,309.4,1512.0,51,35.3,8836,163
H37937,H,No Failure,41.7,5,298.3,309.3,1529,0,Low Risk,5,298.3,309.3,1529.0,5,41.7,8837,164
H37936,H,No Failure,29.8,0,298.3,309.4,1631,1,Low Risk,0,298.3,309.4,1631.0,0,29.8,8838,165
H37926,H,No Failure,36.2,177,298.3,309.6,1546,1,Low Risk,177,298.3,309.6,1546.0,177,36.2,8839,166
H37916,H,No Failure,55.9,152,298.6,309.8,1279,2,Medium Risk,152,298.6,309.8,1279.0,152,55.9,8840,167
H37891,H,No Failure,33.5,91,298.5,309.6,1579,0,Low Risk,91,298.5,309.6,1579.0,91,33.5,8841,168
H37882,H,No Failure,39.1,66,298.6,309.7,1463,0,Low Risk,66,298.6,309.7,1463.0,66,39.1,8842,169
H37878,H,No Failure,27.5,54,298.6,309.7,1672,1,Low Risk,54,298.6,309.7,1672.0,54,27.5,8843,170
H37845,H,No Failure,54.6,185,298.9,310.1,1324,2,Medium Risk,185,298.9,310.1,1324.0,185,54.6,8844,171
H37836,H,No Failure,63.0,163,298.9,310.3,1243,2,Medium Risk,163,298.9,310.3,1243.0,163,63.0,8845,172
H37831,H,No Failure,30.7,150,298.8,310.1,1704,1,Low Risk,150,298.8,310.1,1704.0,150,30.7,8846,173
H37815,H,No Failure,31.8,108,298.5,309.4,1671,1,Low Risk,108,298.5,309.4,1671.0,108,31.8,8847,174
H37810,H,No Failure,33.3,95,298.6,309.6,1593,0,Low Risk,95,298.6,309.6,1593.0,95,33.3,8848,175
H37799,H,No Failure,38.8,65,298.8,309.8,1563,0,Low Risk,65,298.8,309.8,1563.0,65,38.8,8849,176
H37795,H,No Failure,38.3,53,298.8,310.0,1530,0,Low Risk,53,298.8,310.0,1530.0,53,38.3,8850,177
H37759,H,No Failure,35.9,171,298.8,309.8,1490,1,Low Risk,171,298.8,309.8,1490.0,171,35.9,8851,178
H37757,H,No Failure,48.2,164,298.8,309.8,1437,1,Low Risk,164,298.8,309.8,1437.0,164,48.2,8852,179
H37740,H,No Failure,34.2,119,298.6,309.5,1523,0,Low Risk,119,298.6,309.5,1523.0,119,34.2,8853,180
H37737,H,No Failure,40.4,108,298.7,309.5,1453,0,Low Risk,108,298.7,309.5,1453.0,108,40.4,8854,181
H37732,H,No Failure,39.3,94,298.7,309.7,1565,0,Low Risk,94,298.7,309.7,1565.0,94,39.3,8855,182
H37729,H,No Failure,40.7,85,298.7,309.8,1422,0,Low Risk,85,298.7,309.8,1422.0,85,40.7,8856,183
H37719,H,No Failure,44.0,56,298.8,310.1,1380,0,Low Risk,56,298.8,310.1,1380.0,56,44.0,8857,184
H37712,H,No Failure,45.6,37,298.7,310.1,1435,0,Low Risk,37,298.7,310.1,1435.0,37,45.6,8858,185
H37706,H,No Failure,39.9,19,298.9,310.5,1429,0,Low Risk,19,298.9,310.5,1429.0,19,39.9,8859,186
H37697,H,No Failure,33.0,221,298.9,310.6,1615,2,Low Risk,221,298.9,310.6,1615.0,221,33.0,8860,187
H37695,H,No Failure,38.8,213,298.9,310.6,1519,1,Low Risk,213,298.9,310.6,1519.0,213,38.8,8861,188
H37691,H,No Failure,55.8,202,298.8,310.5,1294,2,Medium Risk,202,298.8,310.5,1294.0,202,55.8,8862,189
H37683,H,No Failure,30.4,180,299.2,310.8,1761,2,Low Risk,180,299.2,310.8,1761.0,180,30.4,8863,190
H37679,H,No Failure,28.0,168,299.1,310.6,1791,2,Low Risk,168,299.1,310.6,1791.0,168,28.0,8864,191
H37677,H,No Failure,30.6,160,299.2,310.6,1704,2,Low Risk,160,299.2,310.6,1704.0,160,30.6,8865,192
H37675,H,No Failure,48.4,153,299.2,310.6,1434,1,Low Risk,153,299.2,310.6,1434.0,153,48.4,8866,193
H37674,H,No Failure,48.0,148,299.1,310.6,1332,0,Low Risk,148,299.1,310.6,1332.0,148,48.0,8867,194
H37670,H,No Failure,56.8,136,299.0,310.5,1336,1,Low Risk,136,299.0,310.5,1336.0,136,56.8,8868,195
H37657,H,No Failure,54.5,104,299.1,310.4,1369,1,Low Risk,104,299.1,310.4,1369.0,104,54.5,8869,196
H37626,H,No Failure,48.9,30,299.2,310.5,1329,0,Low Risk,30,299.2,310.5,1329.0,30,48.9,8870,197
H37624,H,No Failure,29.4,23,299.2,310.7,1636,1,Low Risk,23,299.2,310.7,1636.0,23,29.4,8871,198
H37587,H,No Failure,37.0,162,299.9,311.4,1497,1,Low Risk,162,299.9,311.4,1497.0,162,37.0,8872,199
H37585,H,No Failure,34.5,155,300.0,311.4,1641,2,Low Risk,155,300.0,311.4,1641.0,155,34.5,8873,200
H37581,H,No Failure,47.1,143,299.7,311.1,1353,0,Low Risk,143,299.7,311.1,1353.0,143,47.1,8874,201
H37575,H,No Failure,30.2,128,299.6,311.0,1714,1,Low Risk,128,299.6,311.0,1714.0,128,30.2,8875,202
H37573,H,No Failure,31.2,120,299.6,310.9,1679,1,Low Risk,120,299.6,310.9,1679.0,120,31.2,8876,203
H37551,H,No Failure,32.4,67,299.5,310.8,1600,0,Low Risk,67,299.5,310.8,1600.0,67,32.4,8877,204
H37545,H,No Failure,49.6,50,299.9,311.2,1364,0,Low Risk,50,299.9,311.2,1364.0,50,49.6,8878,205
H37544,H,No Failure,43.1,45,300.0,311.2,1393,0,Low Risk,45,300.0,311.2,1393.0,45,43.1,8879,206
H37537,H,No Failure,36.8,27,300.2,311.5,1515,0,Low Risk,27,300.2,311.5,1515.0,27,36.8,8880,207
H37528,H,No Failure,13.5,5,300.4,311.8,2496,1,Low Risk,5,300.4,311.8,2496.0,5,13.5,8881,208
H37524,H,No Failure,18.5,204,300.3,311.8,2141,2,Low Risk,204,300.3,311.8,2141.0,204,18.5,8882,209
H37521,H,No Failure,49.0,194,300.3,311.9,1390,1,Low Risk,194,300.3,311.9,1390.0,194,49.0,8883,210
H37508,H,No Failure,28.8,162,300.2,311.6,1662,2,Low Risk,162,300.2,311.6,1662.0,162,28.8,8884,211
H37496,H,No Failure,46.2,134,300.1,311.5,1422,0,Low Risk,134,300.1,311.5,1422.0,134,46.2,8885,212
H37494,H,No Failure,43.6,127,300.2,311.5,1432,0,Low Risk,127,300.2,311.5,1432.0,127,43.6,8886,213
H37486,H,No Failure,43.2,108,300.5,312.0,1375,0,Low Risk,108,300.5,312.0,1375.0,108,43.2,8887,214
H37474,H,No Failure,44.3,73,300.2,311.5,1426,0,Low Risk,73,300.2,311.5,1426.0,73,44.3,8888,215
H37469,H,No Failure,41.1,60,300.2,311.6,1496,0,Low Risk,60,300.2,311.6,1496.0,60,41.1,8889,216
H37463,H,No Failure,30.5,45,300.6,311.9,1604,1,Low Risk,45,300.6,311.9,1604.0,45,30.5,8890,217
H37455,H,No Failure,48.5,25,300.8,311.9,1431,0,Low Risk,25,300.8,311.9,1431.0,25,48.5,8891,218
H37437,H,No Failure,42.7,212,300.9,312.0,1397,1,Low Risk,212,300.9,312.0,1397.0,212,42.7,8892,219
H37434,H,No Failure,27.9,202,300.9,312.0,1720,2,Low Risk,202,300.9,312.0,1720.0,202,27.9,8893,220
H37423,H,No Failure,17.8,173,300.9,312.0,2129,2,Low Risk,173,300.9,312.0,2129.0,173,17.8,8894,221
